Question,Conclusion,Argument ID,Stance,Premise,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
Should we ban algorithmic trading,We should ban algorithmic trading,A02007,in favor of,algorithms may not be 100% accurate and reflect the situation in the real market,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Should we legalize organ trade,We should legalize organ trade,A02008,in favor of,"We should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Should we legalize cannabis,We should legalize cannabis,A02010,against,if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we ban telemarketing,We should ban telemarketing,A02012,in favor of,telemarketing doesn't differentiate between people who are interested in being called and those who aren't,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we abolish the right to keep and bear arms,We should abolish the right to keep and bear arms,A02014,against,we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Should we ban the Church of Scientology,We should ban the Church of Scientology,A02015,in favor of,they are nothing but a cult and manipulate their members,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we legalize polygamy,We should legalize polygamy,A02017,against,polygamy  can lead to disharmony and jealousy within a household and the offspring of the arrangement can grow up very confused and maladjusted.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Do intelligence tests bring more harm than good?,Intelligence tests bring more harm than good,A02018,against,intelligence tests should continue to be used because they provide valuable data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Should we subsidize Wikipedia,We should subsidize Wikipedia,A02020,against,wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Should we introduce compulsory voting,We should introduce compulsory voting,A03001,in favor of,"where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Does social media bring more harm than good,Social media brings more harm than good,A03005,in favor of,"it gives people a platform to pretend, show off and to bully others. it also makes people believe that everyone else has everything they want and that their lives are perfect, leading to mental health issues.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we abolish zoos,We should abolish zoos,A03008,in favor of,we should abolish zoos as animals should not be kept in captivity and should be in a natural environment.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Should we adopt a multi-party system,We should adopt a multi-party system,A03010,in favor of,it would give people more of a choice  and provides someone for every culture to vote for,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we stop the development of autonomous cars,We should stop the development of autonomous cars,A03012,in favor of,autonomous cars will take away the jobs of thousands of people around the world by removing the function of drivers.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Should we abolish the Olympic Games,We should abolish the Olympic Games,A03016,against,Olympic Games should not be banned. They are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Should we close Guantanamo Bay detention camp,We should close Guantanamo Bay detention camp,A03020,in favor of,Guantanamo Bay detention camp depraves detainees from their human right. Detainees are often molested and even electrocuted in there. This is  a inhumane treatment even for suspicious terrorists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Should we subsidize space exploration,We should subsidize space exploration,A04002,against,"there are more important things to spend public funds on such as health care, housing and education.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we abandon the use of school uniform,We should abandon the use of school uniform,A04003,in favor of,School uniforms keep children from being able to express themselves through their clothing choices.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we abolish intellectual property rights,We should abolish intellectual property rights,A04009,in favor of,ip rights enable large corporations to have a stranglehold over creators designs and work and should be abolished,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Does foster care bring more harm than good,Foster care brings more harm than good,A04012,in favor of,"the fact that almost half of those who have gone to foster homes have been returned eventually to their birthparents, it can be a painful experience for them",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Should we ban whaling,We should ban whaling,A04014,in favor of,whaling is a barbaric practice that destroys majestic animals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Should we end racial profiling,We should end racial profiling,A04015,against,"racial profiling is a powerful tool based on crime statistics meant to keep people in the community safe, especially if it is a high crime area.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we limit executive compensation,We should limit executive compensation,A04016,against,executives deserve the money as they do a stressful and demanding job leading large organizations that hire large number of people.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we adopt a zero-tolerance policy in schools,We should adopt a zero-tolerance policy in schools,A04017,against,zero telerance policied do not address underlying causes for the behaviour that is causing the issue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Should we subsidize stay-at-home dads,We should subsidize stay-at-home dads,A05011,against,"if a father wants to stay home, he can, but we can't subsidize stay-at-home dads, there is no need in a modern society that has other solutions like kindergartens to help with children's needs",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Should we ban private military companies,We should ban private military companies,A05013,in favor of,private military companies could be a danger to our national security because their motives are financial in nature which means they could act in ways that are not in our country's best interest politcally.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we adopt libertarianism,We should adopt libertarianism,A05014,in favor of,libertarianism fosters a more equitable and efficient society for all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Should we abolish safe spaces,We should abolish safe spaces,A05015,in favor of,these are usually located in universities. students need to prepare for the real world and know how to handle conflict. once they leave school they'll have no idea how to handle the constant conflict in life.,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Should we ban cosmetic surgery,We should ban cosmetic surgery,A05017,in favor of,cosmetic surgery is unnecessary and dangerous.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Should Holocaust denial be a criminal offence,Holocaust denial should be a criminal offence,A05020,against,what one chooses to believe or not to believe should be at their discretion.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Should we fight urbanization,We should fight urbanization,A05024,against,urbanization allows people to move away from high crime areas.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Should blockade of the Gaza Strip be ended,Blockade of the Gaza Strip should be ended,A05026,in favor of,blockade means occupation which is illegal and should be stopped,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Should we ban the use of child actors,We should ban the use of child actors,A05028,in favor of,the world of show has proven to be full of vices that in the case of children is very harmful,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Should the vow of celibacy be abandoned,The vow of celibacy should be abandoned,A05029,in favor of,there is a serious shortage of priests and this can be remedied by abandoning the vow of celibacy.,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Should we prohibit women in combat,We should prohibit women in combat,A05030,against,women have proven that they could be as good as men in many fields; who's to say they couldn't also be good soldiers?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Should we prohibit flag burning,We should prohibit flag burning,A05032,in favor of,flag burning is a treasonous and traitorous act which should attract severe punishment.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Should we end mandatory retirement,We should end mandatory retirement,A05036,in favor of,the loss of experience and knowledge from mandatory retirement is costly to businesses,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Should assisted suicide be a criminal offence,Assisted suicide should be a criminal offence,A05038,against,if someone is in extreme pain why make them suffer? this is not criminal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we subsidize vocational education,We should subsidize vocational education,A05060,in favor of,We should subsidize vocational education to encourage more trade schools to open.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Should we abandon television,We should abandon television,A05061,in favor of,television should be abandoned because it is an outdated concept that is increasingly being replaced by on demand news and entertainment services,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we ban targeted killing,We should ban targeted killing,A05068,against,targeted killing should not be banned because it means that dangerous people can be stopped from injuring other people.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Should we adopt atheism,We should adopt atheism,A05070,in favor of,we should adopt atheism because it would be easier than being religious and having so many different beliefs,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Should we subsidize student loans,We should subsidize student loans,A05039,in favor of,student loans set children up to be valuable citizens and the state should support this,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we legalize sex selection,We should legalize sex selection,A05040,against,we should not do this because other countries like china already did and it caused an epidemic where there is a huge imbalance of males to females which disrupts the population,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Should we oppose collectivism,We should oppose collectivism,A05041,in favor of,collectivism prevents original thoughts and discourages people from looking for their own ideas,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we ban missionary work,We should ban missionary work,A05042,in favor of,missionary work plays on the ignorance of local people to exploit them,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Should we limit judicial activism,We should limit judicial activism,A05044,in favor of,activists judges aren't the ones shaping the laws. they're not &quot;all&quot; the people for who the laws are voted for. judicial activism has to be limited to only check for overuse of the power by governments,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should homeschooling be banned,Homeschooling should be banned,A05046,against,"homeschooling is a good option for children who are bullied, giving them a safe place to learn",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Does homeopathy bring more harm than good,Homeopathy brings more harm than good,A05051,against,homeopathy is a natural way to cure a disease.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Should we abolish the 996 overtime system,We should abolish the 996 overtime system,C26001,in favor of,"China's 996 overtime system is very inefficient in enhancing your ability to make money. If you rely on 996 to make money, you are essentially making money by working hard, selling your body.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we give up developing electric vehicles,We should give up developing electric vehicles,C26006,against,"The electric car is driven by an electric motor and has a direct maximum torque at start-up, which is faster than the fuel car power section.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Should we ban the trading of virtual currencies,We should ban the trading of virtual currencies.,C26014,in favor of,Virtual currency is a money laundering channel for criminals.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we protect our privacy in the Internet age,We should protect our privacy in the Internet age.,C26029,in favor of,"In the era of IoT sharing economy, because of linking people and people, people and things, and things and things, the probability of the system being exploited and hacked is also increased.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we restrict minors from playing online games,We should restrict minors from playing online games.,C26039,in favor of,"Many teenagers in China use electronic devices to play games as the only entertainment after study. At the same time, the same kind of people in Europe and the United States choose more diverse ways.",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we open up three-child policy to encourage childbirth,We should open up three-child policy to encourage childbirth.,C26048,against,"To solve the fertility problem in the long term, we need to start at the source: for example, giving young people less pressure to work, regulating and stabilizing housing prices and so on.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Should we prohibit capital monopoly,We should prohibit capital monopoly.,C26056,in favor of,Capital monopoly hinders the efficient allocation of resources and causes waste of resources.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should we prevent the disorderly expansion of capital,We should prevent the disorderly expansion of capital.,C26065,in favor of,"Capital combined with Internet technology, using asymmetric advantages such uncontrolled expansion, snatching the rice bowls of small businessmen and vendors, has constituted a violation of the basic ethics of society.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Should we crack down on unreasonably high incomes,We should crack down on unreasonably high incomes.,C26069,in favor of,"Strengthen the regulation and adjustment of high income, protect legitimate income according to law, reasonably adjust excessive income, and encourage high-income people and enterprises to give more back to society.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Should we ease the education involution,We should ease the education involution.,C26078,in favor of,A society's value of education should not remain &quot;score-only&quot; and &quot;testing-only&quot;.,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Should we vigorously develop the countryside,We should vigorously develop the countryside.,C26084,in favor of,"The gap between rural and urban areas is getting bigger and bigger, and the result is that the countryside is deserted, a lot of land is barren, and China's arable land is decreasing.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Should carbon emissions trading be limited,Carbon emissions trading should be limited.,C26091,against,"Since China's reform and opening up, its economy has developed rapidly, and Western countries have taken advantage of the warming climate to limit the issue of carbon emission rights in order to delay China's development.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is human Gene editing a good thing,Human Gene editing is a good thing,D27001,in favor of,"DNA has got nothing to do with spirituality. It is made up of nitrogen, oxygen, carbon, and hydrogen - the very same elements that make up the majority atmosphere. It is just as godlike as is the air around us.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Can we rely on Cryptocurrencies like Bitcoins,We can rely on Cryptocurrencies like Bitcoins,D27004,against,"If value of standard currency falls, we can still afford to live in our country, because the fall of currency value impacts all fields. For example, if the prices of groceries rise, so does our salaries. But if the value of cryptocurrencies like bitcoin falls, we will loose our hard earned money.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is it right to ban Cattle Slaughter,It is right to ban Cattle Slaughter,,,,,,,,,,,,,,,,,,,,,,,
Is Bullet for Bullet a right policy,Bullet for Bullet is a right policy,,,,,,,,,,,,,,,,,,,,,,,
Is technology increasing Unemployment rates,Technology is increasing Unemployment rates,,,,,,,,,,,,,,,,,,,,,,,
Should homeschooling be encouraged in India,Homeschooling should be encouraged in India,,,,,,,,,,,,,,,,,,,,,,,
Should Hindi be the National language of India,Hindi should be the National language of India,D27008,in favor of,"Hindi is spoken by more than half of India. As no single language is spoken by entire India, it is much better to make the majoritarian language as the national language.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Is India becoming intolerant,India is becoming intolerant,D27011,against,"Many religions and different cultures are co-existing peacefully in India, which is quite surprising to the rest of the world. India is the best example for religious co-existence. If there is intolerance, this wouldn't be possible.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Is the Sabarimala verdict progressive and not a threat to traditions,The Sabarimala verdict is progressive and not a threat to traditions,D27013,in favor of,Why everything is seen in a sexual nature? Brahmacharya doesn't mean women cannot worship god. Brahmacharya means observing celibacy. It doesn't mean that there shouldn't be female devotees of reproductive age. Narrow-minded people do not understand the difference between devotion and sexual attraction.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
