Argument ID	Conclusion	Stance	Premise	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity	Question	entropy	max_prob	max_completion	num_premises
A01013	We should ban naturopathy	in favor of	Naturopathic medicine doesn't have to pass any safety trials, so it can often be dangerous and cause allergic reactions.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Should we ban naturopathy	0.5619804222503995	0.14405041854035933	people sometimes don't get medical treatment that can cause further illness or harm.	66.0
A01014	We should adopt an austerity regime	against	adopting austerity regime will have very negative impact on the poor and the vulnerable in society.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Should we adopt an austerity regime	0.5525827081617566	0.2779228681418165	people should not have to endure higher taxes to pay for the government's inefficiency.	69.0
A01015	We should adopt an austerity regime	in favor of	we should adopt an austerity regime because it is unfair to expect future generations to settle the debts that we run up	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	Should we adopt an austerity regime	0.5525827081617566	0.2779228681418165	people should not have to endure higher taxes to pay for the government's inefficiency.	69.0
A01016	We should adopt gender-neutral language	against	gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words.	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	Should we adopt gender-neutral language	0.566138617341594	0.15175372652901714	there is no need for gender-neutral language. someone could be an actress or an actor and can identify as either without changing the language that we use.	72.0
A01017	We should end affirmative action	in favor of	affirmative action is no longer necessary as more minorities are able to prove to employers that they are worthy workers.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Should we end affirmative action	0.5495202324109841	0.2524788902991078	yes, you should have to work your way to the top not have it handed to you.	66.0
A01018	We should end the use of economic sanctions	against	economic sanctions provide a non-military sanction to use against countries.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Should we end the use of economic sanctions	0.5546104726419927	0.07897766227373658	they only hurt the poorest of society and are an outdated punishment.	75.0
A01019	We should ban factory farming	in favor of	factory farming cuts too many health and safety corners as opposed to smaller family farms, this leads to potentially unsafe and unhealthy products.	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	Should we ban factory farming	0.5608312597204292	0.12316985653615407	it's unethical on the animals and just down right cruel	70.0
A01020	We should subsidize journalism	in favor of	It is important for news organizations to transfer to new forms of media, like the internet, but it is costly and requires subsidization.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Should we subsidize journalism	0.5873025734347632	0.11775971842011518	i believe the government should help pay for journalism because it would allow for better coverage of news events, and help pay the high costs of filming.	73.0
A02001	Payday loans should be banned	in favor of	payday loans create a more impoverished society with their crazy payback rates.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	Should payday loans be banned	0.5676971318875713	0.34827284483644316	sometimes people need these emergency funds when they have no other available options.	67.0
A02002	Surrogacy should be banned	against	Surrogacy should not be banned as it is the woman's right to choose if she wishes to do this for another couple and be compensated.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Should surrogacy be banned	0.46121392953706536	0.31067929751223855	sometimes the only way that people can have children of their own is by having a surrogate to carry the child.	77.0
A02003	We should cancel pride parades	against	there are parades for every group and it is discrimination not to give gays their parade	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	Should we cancel pride parades	0.5504711684712249	0.5661929234590277	possibly they cause disruption due to city centre's needing to be shut down for regular traffic.	75.0
A02004	We should ban cosmetic surgery for minors	in favor of	children have not grown and truly formed their adult looks.   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Should we ban cosmetic surgery for minors	0.5649009892180921	0.45650005421224393	sometimes a cosmetic procedure is necessary in cases of disfigurement, and when this is addressed early, the chances of recovery and normalised existence are maximised.	72.0
A02005	We should legalize prostitution	in favor of	we should legalize prostitution because it will be regulated meaning the females will be safer	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	Should we legalize prostitution	0.5592150120350576	0.1607758139165729	women should have the right to decide what to do with their body and that should include being able to sell it.	69.0
A02006	We should subsidize embryonic stem cell research	in favor of	embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Should we subsidize embryonic stem cell research	0.6093507121598506	0.17354981100944167	there are other stem cells that aren't from embryos that could be used instead.	70.0
A02007	We should ban algorithmic trading	in favor of	algorithms may not be 100% accurate and reflect the situation in the real market	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Should we ban algorithmic trading	0.5757173099123759	0.7050728644101018	if the technology exists then it should be okay to use it	73.0
A02008	We should legalize organ trade	in favor of	We should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Should we legalize organ trade	0.6104704255723393	0.13661771587063312	organs are expensive, and a legal trade can allow for someone in desperate need to get an organ without money or wait times.	68.0
A02009	Entrapment should be legalized	against	entrapment is gravely immoral and against human rights to coerce someone into a crime	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	Should entrapment be legalized	0.5421695246055136	0.16528824475431544	sometimes entrapment is the only way to ensure that criminals are captured and charged, therefore we should legalise it.	69.0
A02010	We should legalize cannabis	against	if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Should we legalize cannabis	0.55441887126527	0.18531172199702267	this should be legal as it is no worse than alcohol.	75.0
A02011	We should fight for the abolition of nuclear weapons	in favor of	nuclear weapons pose too serious a threat to our world.  we must abolish them now.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	Should we fight for the abolition of nuclear weapons	0.5428792823972401	0.6778538468598422	no one wins with nuclear weapons. if two or more countries nuked each other parts of, if not all of, the entire world is just gone. it destroys everything and solves nothing.	72.0
A02012	We should ban telemarketing	in favor of	telemarketing doesn't differentiate between people who are interested in being called and those who aren't	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Should we ban telemarketing	0.5619857603750562	0.8539896829822932	no, it would eliminate way to many jobs.	71.0
A02013	We should prohibit school prayer	in favor of	school prayer cannot account for the array of beliefs or non-beliefs students may hold.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	Should we prohibit school prayer	0.5513643288689498	0.37147612903285265	if parents want their kids to pray at school so be it	70.0
A02014	We should abolish the right to keep and bear arms	against	we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution.	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	Should we abolish the right to keep and bear arms	0.5453926867065079	0.30141939604812606	not having an armed public would entice the government to become more tyrannical.	77.0
A02015	We should ban the Church of Scientology	in favor of	they are nothing but a cult and manipulate their members	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Should we ban the Church of Scientology	0.5426359994277954	0.10720565634165873	people are free to practice any religion they want	74.0
A02016	We should legalize organ trade	in favor of	we need more organs than people donate so legalizing it would be a good thing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Should we legalize organ trade	0.6104704255723393	0.13661771587063312	organs are expensive, and a legal trade can allow for someone in desperate need to get an organ without money or wait times.	68.0
A02017	We should legalize polygamy	against	polygamy  can lead to disharmony and jealousy within a household and the offspring of the arrangement can grow up very confused and maladjusted.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Should we legalize polygamy	0.610662741648967	0.42077299737567625	no one should have to share their partner with other people if they don't want to and polygamy would make this the case.	65.0
A02018	Intelligence tests bring more harm than good	against	intelligence tests should continue to be used because they provide valuable data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Do intelligence tests bring more harm than good?	0.540199354637931	0.6495115659594087	sometimes these tests help identify people's strengths.	76.0
A02019	We should prohibit school prayer	in favor of	School prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend, which marks people out by their differences at an early age.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	Should we prohibit school prayer	0.5513643288689498	0.37147612903285265	if parents want their kids to pray at school so be it	70.0
A02020	We should subsidize Wikipedia	against	wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Should we subsidize Wikipedia	0.5439527694084854	0.04648618413109573	wikipedia is a wonderful source of information for students and adults alike.	70.0
A03001	We should introduce compulsory voting	in favor of	where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Should we introduce compulsory voting	0.5502933517464952	0.41682071984567837	no one should be forced to vote. it goes against the principles of our nation and its freedoms. it is a right, but that doesn't mean anyone has to do it.	73.0
A03002	We should legalize prostitution	against	legalizing prostitution will further demean a woman or man and result in unnecessary violence.	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Should we legalize prostitution	0.5592150120350576	0.1607758139165729	women should have the right to decide what to do with their body and that should include being able to sell it.	69.0
A03003	We should ban the Church of Scientology	in favor of	there are questions of it's legitimacy and whether it is a cult as well as the fact that members have to pay more to move up the levels thereby leading some to come into financial troubles due to this	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	Should we ban the Church of Scientology	0.5426359994277954	0.10720565634165873	people are free to practice any religion they want	74.0
A03004	We should abolish the three-strikes laws	against	this law keeps communities safe by not letting criminals run rampant with only slaps on the wrist	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	Should we abolish the three-strikes laws	0.568303073621695	0.10806816001714932	a three-strikes system does not allow for people to be treated fairly as individuals and instead is used as a &quot;one-size-fits-all&quot; control method for minority populations.	74.0
A03005	Social media brings more harm than good	in favor of	it gives people a platform to pretend, show off and to bully others. it also makes people believe that everyone else has everything they want and that their lives are perfect, leading to mental health issues.	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	Does social media bring more harm than good	0.5778651914581594	0.19195994509883205	people are meaner to each other online because they can't see each other.	72.0
A03006	We should legalize cannabis	in favor of	cannabis has been shown to be safer than alcohol and less addictive.  there is no real reason to keep it an illegal substance.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Should we legalize cannabis	0.55441887126527	0.18531172199702267	this should be legal as it is no worse than alcohol.	75.0
A03007	We should adopt gender-neutral language	against	we should not have to change our language to accommodate those who do not adhere to a specific gender	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	Should we adopt gender-neutral language	0.566138617341594	0.15175372652901714	there is no need for gender-neutral language. someone could be an actress or an actor and can identify as either without changing the language that we use.	72.0
A03008	We should abolish zoos	in favor of	we should abolish zoos as animals should not be kept in captivity and should be in a natural environment.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Should we abolish zoos	0.5552826828630145	0.20323312395984386	it is unfair to trap animals from their natural habitat and confine them to small spaces for entertainment.	75.0
A03009	We should ban fast food	in favor of	fast food is bad for adults and children and causes obesity and the risk of diabetes in many cases.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Should we ban fast food	0.5521764121491235	0.37433814207829214	people should be able to choose what they want to eat	68.0
A03010	We should adopt a multi-party system	in favor of	it would give people more of a choice  and provides someone for every culture to vote for	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	Should we adopt a multi-party system	0.5451089883968344	0.07995549674625639	too many choices in political parties separates people in a country instead of helping them to unite.	67.0
A03011	We should ban fast food	in favor of	fast food is bad for our health and we really should ban any of it	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Should we ban fast food	0.5521764121491235	0.37433814207829214	people should be able to choose what they want to eat	68.0
A03012	We should stop the development of autonomous cars	in favor of	autonomous cars will take away the jobs of thousands of people around the world by removing the function of drivers.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	Should we stop the development of autonomous cars	0.5858251770248046	0.5458037581219791	no autonomous car will every be able to make complex judgement calls the way a human can.	76.0
A03013	We should subsidize journalism	in favor of	journalism and free expression of information and exchange of ideas is a basic human right, and subsidizing this would improve its quality and reach.	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Should we subsidize journalism	0.5873025734347632	0.11775971842011518	i believe the government should help pay for journalism because it would allow for better coverage of news events, and help pay the high costs of filming.	73.0
A03014	Entrapment should be legalized	in favor of	anyone who commits a crime should be prosecuted	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	Should entrapment be legalized	0.5421695246055136	0.16528824475431544	sometimes entrapment is the only way to ensure that criminals are captured and charged, therefore we should legalise it.	69.0
A03015	We should cancel pride parades	in favor of	pride parades create a huge disturbance	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	Should we cancel pride parades	0.5504711684712249	0.5661929234590277	possibly they cause disruption due to city centre's needing to be shut down for regular traffic.	75.0
A03016	We should abolish the Olympic Games	against	Olympic Games should not be banned. They are the tissue that solidify the friendship between nations in the world and a reminder of a peaceful world which should be the world vision	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	Should we abolish the Olympic Games	0.5458334357649889	0.32616547373243754	there is too much scandal and controversy that comes out every time the olympics come around.	71.0
A03017	We should ban factory farming	in favor of	factory farms keep animals in tight spaces.  they are forced to live in cages and not allowed to roam as they were meant to.	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	Should we ban factory farming	0.5608312597204292	0.12316985653615407	it's unethical on the animals and just down right cruel	70.0
A03018	Surrogacy should be banned	in favor of	a woman giving birth to someone else's child will cause that child to grow up and not understand who their mother is.   it can lead to major depression and a very unhealthy lifestyle.	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Should surrogacy be banned	0.46121392953706536	0.31067929751223855	sometimes the only way that people can have children of their own is by having a surrogate to carry the child.	77.0
A03019	We should abolish capital punishment	in favor of	capital punishment has been proven ineffective in reducing crime rates.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Should we abolish capital punishment	0.551759790529841	0.1315241460209003	There is ample evidence showing that capital punishment does not constitute effective deterrence.	74.0
A03020	We should close Guantanamo Bay detention camp	in favor of	Guantanamo Bay detention camp depraves detainees from their human right. Detainees are often molested and even electrocuted in there. This is  a inhumane treatment even for suspicious terrorists	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	Should we close Guantanamo Bay detention camp	0.5752911951619617	0.2562357417080424	not enough scrutiny of guantanamo bay is made available leading to possible abuses of power within the camp.	66.0
A04001	We should abolish the right to keep and bear arms	against	we should not abolish the right to bear arms because the law was set forth by our founding fathers, therefore making it an american right.	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	Should we abolish the right to keep and bear arms	0.5453926867065079	0.30141939604812606	not having an armed public would entice the government to become more tyrannical.	77.0
A04002	We should subsidize space exploration	against	there are more important things to spend public funds on such as health care, housing and education.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Should we subsidize space exploration	0.547552181746336	0.27866757744332293	space exploration is a good adventure. our planet is in a future risk of extinct and we should best prepare our refuge in space exploration	71.0
A04003	We should abandon the use of school uniform	in favor of	School uniforms keep children from being able to express themselves through their clothing choices.	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Should we abandon the use of school uniform	0.5508062239323491	0.10666066886460336	this practice insures students are all equal in dress and ensures students will not come to school in inappropriate clothing.	76.0
A04004	We should ban human cloning	in favor of	human cloning is an unnatural act that goes against the laws of nature.  it is too dangerous of an act and is something man should not be tampering with.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Should we ban human cloning	0.5751325109378964	0.2996815119579781	though it may sound awful, human cloning can provide perfect matches for organ transplants and prolong the lives of people.	74.0
A04005	Intelligence tests bring more harm than good	in favor of	some people are highly intelligent but don't do well on testing so intelligence tests can't measure a true value if it's only testing with one method.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Do intelligence tests bring more harm than good?	0.540199354637931	0.6495115659594087	sometimes these tests help identify people's strengths.	76.0
A04006	We should cancel pride parades	in favor of	why should homosexuals have a pride parade?heterosexuals don't have them!	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	Should we cancel pride parades	0.5504711684712249	0.5661929234590277	possibly they cause disruption due to city centre's needing to be shut down for regular traffic.	75.0
A04007	We should prohibit school prayer	against	allowing children to pray and take some quiet time in school can be beneficial for their mental health.	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	Should we prohibit school prayer	0.5513643288689498	0.37147612903285265	if parents want their kids to pray at school so be it	70.0
A04008	We should adopt a multi-party system	in favor of	We should adopt a multi-party system as the current two party system does not fit the diverse society that it is supposed to represent.	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	Should we adopt a multi-party system	0.5451089883968344	0.07995549674625639	too many choices in political parties separates people in a country instead of helping them to unite.	67.0
A04009	We should abolish intellectual property rights	in favor of	ip rights enable large corporations to have a stranglehold over creators designs and work and should be abolished	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Should we abolish intellectual property rights	0.5532481119236835	0.40450595037078657	if someone invents something they should be able to profit from it	76.0
A04010	We should subsidize journalism	against	there are many sectors need subsidizing more than journalism,  journalists already make good money, more money to them will be a waste.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	Should we subsidize journalism	0.5873025734347632	0.11775971842011518	i believe the government should help pay for journalism because it would allow for better coverage of news events, and help pay the high costs of filming.	73.0
A04011	We should legalize cannabis	against	cannabis is highly addictive, studies show up to one-in10 users develop dependence over time	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Should we legalize cannabis	0.55441887126527	0.18531172199702267	this should be legal as it is no worse than alcohol.	75.0
A04012	Foster care brings more harm than good	in favor of	the fact that almost half of those who have gone to foster homes have been returned eventually to their birthparents, it can be a painful experience for them	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	Does foster care bring more harm than good	0.5487071033116246	0.7250303807491417	sometimes foster care is the safest option for a child. it is far better to remove a child who is being looked after by parents who cannot be trusted not to harm the child.	71.0
A04013	We should adopt gender-neutral language	against	we should not adopt gender neutral language because were created as male and female	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Should we adopt gender-neutral language	0.566138617341594	0.15175372652901714	there is no need for gender-neutral language. someone could be an actress or an actor and can identify as either without changing the language that we use.	72.0
A04014	We should ban whaling	in favor of	whaling is a barbaric practice that destroys majestic animals	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Should we ban whaling	0.5397872510208389	0.7792677995065413	if a county wants to hunt and kill whales they should be allowed to do so	71.0
A04015	We should end racial profiling	against	racial profiling is a powerful tool based on crime statistics meant to keep people in the community safe, especially if it is a high crime area.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Should we end racial profiling	0.607572699112251	0.28717094910230034	there is no valid argument in favor of racial profiling.	65.0
A04016	We should limit executive compensation	against	executives deserve the money as they do a stressful and demanding job leading large organizations that hire large number of people.	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Should we limit executive compensation	0.5859551363340036	0.21916826263151667	people should receive benefits for achieving higher goals and executives should also receive those compensations.	69.0
A04017	We should adopt a zero-tolerance policy in schools	against	zero telerance policied do not address underlying causes for the behaviour that is causing the issue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	Should we adopt a zero-tolerance policy in schools	0.5430597028403381	0.10138373049240756	a zero tolerance policy at school is a good idea because children need to be disciplined as it might cut crime in the future.	72.0
A04018	We should abandon the use of school uniform	in favor of	School uniforms are too expensive and many parents can not afford the extra expense.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Should we abandon the use of school uniform	0.5508062239323491	0.10666066886460336	this practice insures students are all equal in dress and ensures students will not come to school in inappropriate clothing.	76.0
A04019	Social media brings more harm than good	in favor of	social media results in the fomo culture which is unhealthy for individuals.	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Does social media bring more harm than good	0.5778651914581594	0.19195994509883205	people are meaner to each other online because they can't see each other.	72.0
A04020	We should fight for the abolition of nuclear weapons	in favor of	Nuclear weapons should be abolished because they have to potential to cause so much destruction.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	Should we fight for the abolition of nuclear weapons	0.5428792823972401	0.6778538468598422	no one wins with nuclear weapons. if two or more countries nuked each other parts of, if not all of, the entire world is just gone. it destroys everything and solves nothing.	72.0
A05001	We should abolish intellectual property rights	in favor of	ideas are free thoughts so it's not fair for one person to profit off of it	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Should we abolish intellectual property rights	0.5532481119236835	0.40450595037078657	if someone invents something they should be able to profit from it	76.0
A05002	Payday loans should be banned	in favor of	payday loans gives people who apparently not able to live paycheck by paycheck an unethically high interest-rated loan and ends up getting them in deeper debt and payday loans should be banned.	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	Should payday loans be banned	0.5676971318875713	0.34827284483644316	sometimes people need these emergency funds when they have no other available options.	67.0
A05003	We should end the use of economic sanctions	in favor of	economic sanctions affect poor people more than governments	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	Should we end the use of economic sanctions	0.5546104726419927	0.07897766227373658	they only hurt the poorest of society and are an outdated punishment.	75.0
A05004	Foster care brings more harm than good	in favor of	foster care can be horrible for the child when moving from home to home and never settling down in one place.	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	Does foster care bring more harm than good	0.5487071033116246	0.7250303807491417	sometimes foster care is the safest option for a child. it is far better to remove a child who is being looked after by parents who cannot be trusted not to harm the child.	71.0
A05005	We should ban factory farming	in favor of	factory farming is bad for the environment and should be banned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Should we ban factory farming	0.5608312597204292	0.12316985653615407	it's unethical on the animals and just down right cruel	70.0
A05006	We should legalize organ trade	in favor of	if we legalize the organ trade we will save lives, by ensuring that more people who need an organ transplant actually get one.	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	Should we legalize organ trade	0.6104704255723393	0.13661771587063312	organs are expensive, and a legal trade can allow for someone in desperate need to get an organ without money or wait times.	68.0
A05007	Social media brings more harm than good	in favor of	social media can be incredibly addicting and cause depression based on popularity contests. we shouldn't use it so much because it can cause suicide and cyber bullying.	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	Does social media bring more harm than good	0.5778651914581594	0.19195994509883205	people are meaner to each other online because they can't see each other.	72.0
